Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants 
Issue#2480 Extensions for Preconditions API,cla: no,,,"jakubmalek: 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  jakubmalek: I signed it!  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  lukesandberg: re: Preconditions why not just pass a custom object with an overridden toString method?  lowasser: This makes some sense in Java 8 where a Supplier is just a lambda and an
Object with an overridden toString is an anonymous inner class.  And using
this approach at all lets you avoid front loading computations on the
objects that get captured by the lambda. That said, until Java 8, the Object anonymous class is just as good. On Wed, May 25, 2016, 9:44 AM Luke Sandberg notifications@github.com
wrote: re: Preconditions why not just pass a custom object with an overridden toString method? —
You are receiving this because you are subscribed to this thread.
Reply to this email directly or view it on GitHub
#2480 (comment)  kevinb9n: On Wed, May 25, 2016 at 10:13 AM, Louis Wasserman notifications@github.com
wrote: This makes some sense in Java 8 where a Supplier is just a lambda and an Object with an overridden toString is an anonymous inner class. And using
this approach at all lets you avoid front loading computations on the
objects that get captured by the lambda. Preconditions was never designed with the notion that ""if you ever have
to revert to an if/throw something has gone terribly wrong"". When I see circuitous things like this being done, I feel (more) sad that
we ever introduced Preconditions at all. That said, until Java 8, the Object anonymous class is just as good. On Wed, May 25, 2016, 9:44 AM Luke Sandberg notifications@github.com
wrote: re: Preconditions why not just pass a custom object with an overridden toString method? —
You are receiving this because you are subscribed to this thread.
Reply to this email directly or view it on GitHub
#2480 (comment) —
You are receiving this because you are subscribed to this thread.
Reply to this email directly or view it on GitHub
#2480 (comment) Kevin Bourrillion | Java Librarian | Google, Inc. | kevinb@google.com  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2016-05-15 10:28:24,2017-01-09 20:04:52,8,6,6
Issue#2481 Make Cache class keys type safe,"status=working-as-intended, cla: yes",,,"juhovh: Maybe this should be an issue instead of pull request, if you find this to be against the guidelines for contributing, please feel free to close this request immediately. I wanted to send a pull request instead to demonstrate how invasive the change would be. (not very) Basically I was using LoadingCache<String, Value> in my application and used it to cache data based on a string key, and I also needed to invalidate the cache, so invalidate(key) was called whenever necessary. Later on I needed to change the type of the LoadingCache to LoadingCache<Wrapper, Value> in order to pass on some extra parameters for the CacheLoader. Everything compiled and seemed to work fine, but after a while some cache invalidation issues started to come up. After debugging I figured out that the signature of invalidate(key) is actually invalidate(Object key), instead of using the actual key type. The lack of cache invalidation in turn caused inconsistency in our actual data and at least a day of extra work trying to fix everything manually. So I thought if having the key type included in the signature could've saved me hours of work, maybe I'm not the only one. In theory it would be possible that someone is using an object for invalidation that is not a subclass of key, but would still equal to it. In practice I find this rather unlikely, but I would like to hear some comments about how to proceed with this suggested change. Also, I have not signed the Google CLA yet, but I can do it if necessary.  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  googlebot: CLAs look good, thanks!  juhovh: It looks like 9eed063 has intentionally erased types from getIfPresent and getAllPresent, so I would be ok by not touching these two and modify the commit accordingly. Don't know the details behind that change, but for invalidate the case still stands in my opinion...  juhovh: Looks like a similar issue is discussed in http://smallwig.blogspot.co.uk/2007/12/why-does-setcontains-take-object-not-e.html blog post and the end result would be that the current behaviour is more correct. However, in my particular case the Well, when I typed that code into IntelliJ, it flagged a warning for me right away. didn't seem to stand and there were no warnings whatsoever with IntelliJ IDEA 15. Again, feel free to close this pull request. Guess I just need to solve this issue with big warning messages, but it feels quite wrong...  cpovirk: Sorry for the trouble that this caused you. This is indeed intentional. The best documentation I know of at the moment is Error Prone's. We do want to extend Error Prone to catch bugs not just with the use of JDK collections but also with Cache, but we haven't gotten there yet. Our hope is to do so by introducing some kind of @TypeCompatibleWith annotation. If we do that, then IntelliJ could read the annotation and provide the same warning. (Or they could just special-case Cache today.)  kevinb9n: We are hoping to extend that Error Prone check to catch Guava classes like
Cache, but actually FindBugs has beaten us to that by a few years. I would
suggest adopting it in your project. It's unfortunate, but static analysis
is the only real solution here. On Mon, May 16, 2016 at 6:44 AM, Chris Povirk notifications@github.com
wrote: Sorry for the trouble that this caused you. This is indeed intentional.
The best documentation I know of at the moment is Error Prone's
http://errorprone.info/bugpattern/CollectionIncompatibleType. We do
want to extend Error Prone to catch bugs not just with the use of JDK
collections but also with Cache, but we haven't gotten there yet. Our
hope is to do so by introducing some kind of @TypeCompatibleWith
annotation. If we do that, then IntelliJ could read the annotation and
provide the same warning. (Or they could just special-case Cache today.) —
You are receiving this because you are subscribed to this thread.
Reply to this email directly or view it on GitHub
#2481 (comment) Kevin Bourrillion | Java Librarian | Google, Inc. | kevinb@google.com  juhovh: I forgot to reply to this, thanks to both of you for suggestions and I'll consider adding FindBugs to the project development process. For now I'm avoiding the issue by having a generic wrapper around the different cache types we're using with the key type always defined, and unit tests for the cache invalidation. Need to see if that becomes insufficient at some point.  ",2016-05-16 10:07:26,2016-05-16 13:44:03,1,5,4
Issue#2490 Added function Multimaps.indexSet,cla: no,,,"vharuty: Based on issue #2468
Added a function Multimaps.indexSet 



              The text was updated successfully, but these errors were encountered:
              googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  ",2016-05-28 01:59:43,2016-05-29 18:50:43,1,2,2
"Issue#2491 Added function Multimaps.index(Set<V>, Function<V, K>)",cla: no,,,"vharuty: Added function Multimaps.index(Set, Function<V, K>) based on
#2468  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  ",2016-05-29 19:46:51,2016-05-29 20:01:30,1,2,2
"Issue#2492 Added function Multimaps.index(Set<V>, Function<V, K>)","type=enhancement, package=collect, cla: yes, P4",,,"vharuty: Added function Multimaps.index(Set, Function<V, K>) based on
#2491  cpovirk: Cross-link to feature request: #2468  ",2016-05-29 20:17:37,,1,2,3
Issue#2498 TreeMultimap.create(TreeMultimap) takes O(n log n) issue 1579,"type=enhancement, package=collect, type=performance, cla: yes, P3",,,"wodomierz: TreeMultimap.create(TreeMultimap) take O(n) issue:
#1579  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  googlebot: CLAs look good, thanks!  ",2016-06-05 19:50:17,,1,3,3
Issue#2499 Maps.unmodifiableNavigableMap covariant in V (issue 1870),cla: yes,,cpovirk,"wodomierz: issue #1870 



              The text was updated successfully, but these errors were encountered:
              ",2016-06-09 18:16:00,2016-06-16 16:43:26,1,1,3
Issue#2500 Fix usage example of ImmutableSortedMultiset.Builder,cla: yes,,cpovirk,"abvadabra: Currently, example code in the description of ImmutableSortedMultiset.Builder class contains call for constructor which doesn't exist. This PR replaces constructor with ImmutableSortedMultiset.naturalOrder() call  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  abvadabra: I signed it!  googlebot: CLAs look good, thanks!  cpovirk: Thanks. I think I'm going to keep it as a constructor call but add the required parameter.  ",2016-06-11 19:51:11,2016-06-13 15:56:50,1,1,3
Issue#2506 Merge pull request #1 from google/master,cla: no,,,"cmanlh: merge  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  ",2016-06-17 09:48:35,2016-06-17 09:48:52,1,0,2
Issue#2511 #2509: Fix for 'DoubleMath incorrectly rounds 0.99999999999999994 to 2 with rounding mode UP or CEILING,cla: yes,,lowasser,"terzerm: See Issue #2509  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  terzerm: I signed an individual CLA.  googlebot: CLAs look good, thanks!  eamonnmcmanus: I think this will do the wrong thing if x is too large to fit in a long.  terzerm: Problematic values are
(a) NaN, Infinite --- they are checked at the beginning of the method (exception is thrown)
(b) Finite, exceeding long range: are mathematical integers, hence will not run through the statement This is confirmed by the fact that all DoubleMath unit tests are still passing.  lowasser: I concur, Eamonn: if x doesn't fit in a long, it's a mathematical integer anyway.  eamonnmcmanus: OK.  cpovirk: Fixed a little differently in 1b1163b. Thanks for reporting.  ",2016-06-27 14:34:22,2016-06-30 19:49:38,1,2,5
Issue#2515 Add possibility to create Striped lock with 'fair ordering policy' = true,"type=enhancement, package=concurrent, cla: yes, P3",,,"armsargis: Added static method to create Striped with Locks with 'fair ordering policy' = true  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  armsargis: I signed it!  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  googlebot: CLAs look good, thanks!  ",2016-06-29 14:46:11,,1,2,3
Issue#2517 Issue google/guava#332: Ability to specify handling for unknown values,cla: yes,,,"dtrunk90: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  dtrunk90: I signed it!  googlebot: CLAs look good, thanks!  cpovirk: We do expect to support this use case eventually, but we're still looking to settle the API. Hopefully someday :(  ",2016-07-04 17:36:26,2017-02-01 04:05:13,1,3,3
Issue#2518 Fix HttpHeaders constants to be lowercase.,"package=net, cla: yes",,kluever,"swankjesse: HTTP/2 requires lowercase, and it's our collective future. Any code that cares
about the casing of headers is broken, so any code that breaks from this change
is destined to break when it's used with HTTP/2. String.toLowerCase() and Ascii.toLowerCase() both have optimizations that make
code run faster if the input is already lowercase. I estimate that 0.0000001%
of Google's extensive compute resources are currently wasted converting headers
to lowercase when they could be lowercase already. 



              The text was updated successfully, but these errors were encountered:
              kluever: Oh man, I think this is going to cause some serious breakages inside of google if we merge it. This is pretty scary. HTTP/2 requires lowercase Can you send a reference to the RFC or whatever? I'm going to start an internal thread about this and see what folks think.  kluever: Ahh, I think I found it: header field names MUST be converted to lowercase prior to their encoding in HTTP/2. A request or response containing uppercase header field names MUST be treated as malformed https://httpwg.github.io/specs/rfc7540.html#rfc.section.8.1.2  kluever: Hey Jesse, We discussed this internally quite a bit, and decided to leave it as is. The fact that HTTP headers are lowercase on the wire is an implementation detail. It does not need to be surfaced to users. And... The HTTP/2 protocol is mostly binary, so you'd be using an encoder anyway. Yes, there is a slight performance penalty for lowercasing, but it's not even close to large enough for us to try to push a change of this magnitude through. Cheers,
-kak  swankjesse: Works for me. Two quick notes about why this is too bad:  ",2016-07-06 14:05:38,2016-07-20 17:47:15,1,2,3
Issue#2519 Applied skeletal implementation to interface migration automated refactoring,cla: yes,,,"khatchad: This is a semantics-preserving refactoring that migrates existing method implementations in classes to the corresponding implemented interface methods as default methods. The tool does not add new code; it only rearranges existing code. We have upgraded the compilation process to use Java 8 so that default methods can be used. However, we realize that this may not be acceptable. Still, any feedback you can supply would be helpful. Thank you for your help in this evaluation! Any feedback you can provide would be very helpful. In particular, we are interested if each of the proposed changes are helpful or not.  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  khatchad: I signed it!  googlebot: CLAs look good, thanks!  kluever: Thanks Raffi, but we've been hard at work on a Guava for Java 8 branch which should be out later this year. That being said, I'm going to close this out. FYI @lowasser - you might be interested in seeing what was proposed here.  khatchad: Thank you for the consideration, @kluever! We'll be on the look out for the Java 8 branch.  khatchad: Hi @kluever and @lowasser. I am thinking of applying for a Google Faculty Research Award, deadline September 30, 2016, and proposing something based on this research. I know it is a ways away, but I was wondering if you know anyone that would be interesting in sponsoring the application, as that is one of the available fields. I can send more information if desired. Thanks!  ",2016-07-06 15:55:50,2016-07-06 15:58:38,2,16,3
Issue#2523  No need to disable doclint completely. Disabling high-level HTML iss…,cla: yes,,,"turbanoff: …ues should be enough 



              The text was updated successfully, but these errors were encountered:
              ",2016-07-11 20:30:57,2016-10-05 17:30:01,1,2,2
Issue#2527 Fixed typo in javadoc,cla: yes,,,"govindpatel: Fixes #2525 



              The text was updated successfully, but these errors were encountered:
              govindpatel: closing this because it is not from master branch.  ",2016-07-12 12:42:18,2016-07-12 13:07:02,1,1,2
Issue#2528 Fixed the typo for javadoc,cla: yes,,cpovirk,govindpatel: Fixes #2525  ,2016-07-12 13:11:51,2016-07-12 15:23:24,1,1,3
Issue#2531 Simple isNullOrEmpty to Lists class,cla: yes,,,jonathanbeber: Just adding a method similar to already existing in Strings class.  ,2016-07-15 21:51:33,2016-07-15 21:52:10,3,2,2
Issue#2534 modify pom,cla: no,,cgruber,"hellosky806: add repository 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  cgruber: Why is this repository necessary.  Guava is itself available through repo1,
as are it's very few dependences.  What is this pull request accomplishing? On Wed, Jul 20, 2016, 07:24 Kurt Alfred Kluever notifications@github.com
wrote: Assigned #2534 #2534 to @cgruber
https://github.com/cgruber. —
You are receiving this because you were mentioned. Reply to this email directly, view it on GitHub
#2534 (comment), or mute the
thread
https://github.com/notifications/unsubscribe-auth/AAUN4lucl2WOv3KgMR8xAN4-mhX7Ir4Bks5qXi-bgaJpZM4JQck1
.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2016-07-20 05:48:43,2017-01-09 20:04:52,2,1,5
Issue#2535 Add method to create a temp directory at a different location,"type=addition, package=io, cla: no",,cgdecker,"phoenix384: Add a method to create a temp directory beneath a user defined parent directory instead of the system's temp directory  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2016-07-20 11:42:53,2017-01-09 20:04:52,1,1,5
Issue#2541 while-statement did not loop,cla: yes,,cpovirk,"leksak: A return statement occurred in the first
iteration of the loop making the loop
statement redundant, as it is semantically
equivalent to an if-statement. Replaced the loop-statement with the
equivalent if. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  leksak: I signed it!  googlebot: CLAs look good, thanks!  ",2016-08-03 22:37:58,2016-08-09 14:07:15,1,1,3
Issue#2543 Implement the indexOf method of the CartesianList,cla: no,,,"hadrienk: The implementation of the method indexOf(Object o) in the AbstractList iterates over the iterator. In the case of Cartesian list, the index can be computed instead. 



              The text was updated successfully, but these errors were encountered:
              googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  ",2016-08-08 13:37:28,2016-08-08 13:38:04,1,2,2
Issue#2544 Implement the indexOf method of the CartesianList,"type=enhancement, package=collect, cla: yes",ronshapiro,lowasser,"hadrienk: The implementation of the method indexOf(Object o) in the AbstractList iterates over the iterator. In the case of Cartesian list, the index can be computed instead.  hadrienk: Hi! Can I help with something to get this PR merged?  hadrienk: @lowasser @kluever  ronshapiro: Google Style doesn't allow for multiple variables to be declared in the same statement. Can you split this up? I think it would also make the next conditional much clearer:  ronshapiro: axisIndex is more appropriate - axes is not the multiple of axe here, rather it's the multiple of axis  cpovirk: (IIRC Louis may already have imported this and made the style fixes. Not on my laptop to check though.)  ronshapiro: Ah, I see this is in #3197, but @lowasser didn't attribute it correctly  ",2016-08-08 13:42:33,2018-07-10 19:39:29,1,2,6
Issue#2545 Emulate Queue/Deque impls in GWT.,"type=enhancement, package=collect, cla: yes",,cpovirk,"korzha: GWT 2.8 has ArrayDeque implementation  cpovirk: Nice, didn't realize that GWT had added this. And thanks. I didn't realize that we'd fully duplicated TreeTraverser, either.  ",2016-08-10 14:31:22,2016-08-24 19:35:53,1,11,5
Issue#2546 Provide emulation for classes that use BitSet.,cla: yes,,cpovirk,"korzha: GWT 2.8 added BitSet emulation.  cpovirk: FYI, I will probably leave these as @GwtIncompatible, since they're used only from other @GwtIncompatible code. (We might as well spare the GWT compiler the trouble of compiling and discarding them, and we might as well give ourselves the option of adding non-GWT-compatible code to them in the future.) I'll update the comment, though.  cpovirk: Thanks. Looking at this now.  spirylics: Since, this error appears now :
[INFO]    Tracing compile failure path for type 'com.google.common.collect.BinaryTreeTraverser'
[INFO]       [ERROR] Errors in 'jar:file:/Users/cyril/.m2/repository/com/google/guava/guava-gwt/20.0-SNAPSHOT/guava-gwt-20.0-SNAPSHOT.jar!/com/google/common/collect/BinaryTreeTraverser.java'
[INFO]          [ERROR] Line 134: No source code is available for type java.util.BitSet; did you forget to inherit a required module?
[INFO]    [ERROR] Aborting compile due to errors in some input files Somebody has an idea ?  korzha: @spirylics #2547  ",2016-08-11 11:30:56,2016-08-11 19:33:44,1,5,4
"Issue#2555 Fix Issue #2554, Helpers#isEmpty","type=defect, status=fixed, package=testing, cla: yes",,lowasser,"ghonzo: As detailed in issue #2554 there was a bug in com.google.common.collect.testing.Helpers#isEmpty when passed an Iterable that is not a Collection. Added a test that fails before the patch, succeeds after. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  lowasser: I think we're actually going to aim to kill off this class entirely and replace it with Truth rather than try to fix its brokenness.  ghonzo: Fair enough! Thanks for the direction.  lowasser: Bleahhhhh it looks like we might have to live with this class due to some dependency weirdnesses. Going to reopen this so we can fix this issue, at least.  googlebot: CLAs look good, thanks!  kluever: @lowasser do you mind handling this request? thanks  lowasser: I'm pretty sure I got this already, not sure if it's sync'd out yet though.  cpovirk: 6c63cf3  ",2016-08-23 19:01:40,2016-09-03 18:23:40,1,2,6
Issue#2556 Add ability to accept IllegalArgumentExceptions using NullPointerTester,cla: yes,,,"kartoffelsup: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  kartoffelsup: I signed it!  googlebot: CLAs look good, thanks!  lowasser: Have you seen #1949 ? We already have this but have not yet decided whether we want this in external Guava.  kartoffelsup: I haven't, sorry! Shame on me :(  ",2016-08-23 21:02:16,2016-08-23 21:34:38,1,2,3
Issue#2558 Adding checkPositive MathPreconditions before using value of x,cla: no,,,"dpsingh016: Adding checkPositive MathPreconditions before using value of x in ceilingPowerOfTwo and floorPowerOfTwo methods.  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  dpsingh016: Updated email address  lowasser: Not sure why you feel this is necessary?  log2, which these methods call immediately, already does this check.  dpsingh016: Presently we are tightly coupled with log2 method to enforce the method contract ""@throws IllegalArgumentException if {@code x <= 0}"" I'm following fail fast concept at this place. If we know that for non positive values of x this method is going to fail we can fail it even before calling log2 method.  lowasser: There's no reason to check twice.  We have tests to make sure the exception gets thrown somewhere, and throwing the exception is part of log2's contract, which we can depend on.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2016-09-03 19:31:19,2017-01-09 20:04:52,1,1,4
Issue#2562 Fix MultiInputStream.read(byte[]): do not stop after first stream...,cla: yes,,,"jbgi: if there is still bytes to read. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  jbgi: CLA signed.  googlebot: CLAs look good, thanks!  jbgi: After examination of the javadoc, the current behavioir is not a bug: An attempt is made to read as many as len bytes, but a smaller number may be read. It is just that the code that exposed bad behavior did not use com.google.common.io.ByteStreams#read or equivalent.  ",2016-09-11 10:31:34,2016-09-11 12:32:23,1,2,2
Issue#2564 Update CharSource.java,cla: yes,,,"davidsheldon: Typo fix - link -> line.  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  davidsheldon: I signed it!  cpovirk: It looks like you're still not showing up in the CLA list. Is it under some email address other than dave-github@earth.li?  davidsheldon: Ah, it was, I've done another one now, it seems you can't change the email address on the CLAs. Hopefully it can support two for the same github account. It's a lot of work to fix a single character in the documentation....  googlebot: CLAs look good, thanks!  cpovirk: Yep, sorry :( It's at least a one-time cost, if that's any consolation. I'm submitting this internally now, and it will be mirrored out shortly.  ",2016-09-12 12:11:19,2016-09-13 19:13:13,1,1,3
Issue#2565 update source,cla: no,,,"LittleFatz: update source  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  ",2016-09-12 12:13:18,2016-09-12 14:44:20,2,1,2
Issue#2567 Update Mockito version to 2.1.0-RC.1,cla: yes,,,"TimvdLippe: Last week we released our first release candidate of Mockito 2.
This release should be backwards compatible with the codebase
of Google Guava. To read about all changes in Mockito 2, check out
https://github.com/mockito/mockito/wiki/What%27s-new-in-Mockito-2 I have ran your test suite locally before and after this change and
did not discover any regressions nor test failures.
While this version is a release candidate, we are not planning
to introduce any changes for the final release. There might be
possible bug fixes included in the final release, but so far
we have not received any reports of regressions in our library. Thank you for using Mockito and please let us know what you think! 



              The text was updated successfully, but these errors were encountered:
              mockitoguy: Please consider pushing :) Thanks for supporting OS community!!!  TimvdLippe: Thanks a lot for merging @cpovirk . We are really happy that a 850k test code base can safely upgrade to multiple minor + 1 major version of Mockito. This gives us a lot of confidence publishing this long-awaited major upgrade.  mockitoguy: Thank you @cpovirk. It's very helpful! Thanks @TimvdLippe for driving this!  ",2016-09-17 11:01:46,2016-09-27 19:22:42,1,1,3
Issue#2580 Remove reference to a deprecated method,cla: yes,,,"Xaerxess: I found these comments slightly confusing. (I also wonder whether you removed sameThreadExecutor internally, since it's scheduled for removal in August 2016, but I guess it means in ""when Guava 20 is out"".)  cpovirk: Yeah, we've fallen behind on removing things. sameThreadExecutor is on our to-do list. We won't hold up Guava 20 over it, though, so it might hang on longer :( Anyway, thanks for the comment fix.  ",2016-09-28 21:44:04,2016-09-29 19:11:36,1,1,3
Issue#2581 Apply IntelliJ-suggested language feature migrations.,cla: yes,cpovirk,,"jbduncan: All code which initializes an IOException with a cause exception now uses the appropriate constructor (which was introduced in Java 6), rather than initCause. Since Guava now depends on Java 6, this (as far as I can tell) is a safe change to make. A change was made from using an Iterator to an enhanced for-loop for (arguably) improved readability and, by my understanding, no performance impact. All other changes should hopefully be self-explanatory. :)  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  jbduncan: I signed it!  googlebot: CLAs look good, thanks!  cpovirk: Exhaustive, definitive, guaranteed-correct analysis of this change by me and one other guy shows that the code was better how it was. Or, you know, we just kind of prefer that way :-P We like the parallel next() calls. I'm submitting the change internally (minus the one part here), and we'll mirror it out shortly.  jbduncan: Haha, fair enough! Seems IntelliJ isn't quite as infallible as I thought. 😋 And I also agree to some extent that consistent, parallel iterator calls are better than replacing one of them with a for loop, so I'm happy with this.  ",2016-09-29 02:14:08,2016-09-29 18:44:11,1,4,3
Issue#2582 Replace unnecessary StringBuilder calls with String concat,cla: yes,,,"jbduncan: According to IntelliJ, these usages of StringBuilder can be simplified. By my understanding, this is because they do not contain any loops, and thus, as of Java 6, JVMs are able to optimize these concatenations into more-efficient StringBuilder calls at compile time. Thus this change improves readability without losing performance.  lowasser: Heh.  I'm at least partially responsible for that change in upstream JDK, so it's appropriate we apply those simplifications to Guava now...  ",2016-09-29 02:43:30,2016-09-29 18:59:58,1,4,3
Issue#2583 Remove unused imports,cla: yes,,,"jbduncan: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              ",2016-09-29 02:46:36,2016-09-29 18:59:58,1,2,2
Issue#2584 Remove redundant String.format call,cla: yes,,,"jbduncan: 
No description provided.
  ",2016-09-29 02:52:29,2016-09-29 18:44:11,1,1,2
